class,fpr,tpr,threshold
Pneumonia,0.0,0.0,inf
Pneumonia,0.0,0.00156,0.823442
Pneumonia,0.0,0.485179,0.711819
Pneumonia,0.0,0.4883,0.711763
Pneumonia,0.0,0.514821,0.709781
Pneumonia,0.0,0.517941,0.709708
Pneumonia,0.0,0.858034,0.552599
Pneumonia,0.004202,0.858034,0.547218
Pneumonia,0.004202,0.907956,0.322507
Pneumonia,0.008403,0.907956,0.313292
Pneumonia,0.008403,0.932917,0.155637
Pneumonia,0.012605,0.932917,0.149831
Pneumonia,0.012605,0.950078,0.107666
Pneumonia,0.016807,0.950078,0.106689
Pneumonia,0.016807,0.953198,0.099506
Pneumonia,0.021008,0.953198,0.097739
Pneumonia,0.021008,0.968799,0.036923
Pneumonia,0.02521,0.968799,0.035923
Pneumonia,0.02521,0.979719,0.03045
Pneumonia,0.029412,0.979719,0.028041
Pneumonia,0.029412,0.982839,0.024244
Pneumonia,0.079832,0.982839,0.015106
Pneumonia,0.079832,0.984399,0.01494
Pneumonia,0.084034,0.984399,0.014836
Pneumonia,0.084034,0.98908,0.013769
Pneumonia,0.105042,0.98908,0.012956
Pneumonia,0.105042,0.99064,0.012395
Pneumonia,0.117647,0.99064,0.012164
Pneumonia,0.117647,0.9922,0.012039
Pneumonia,0.134454,0.9922,0.011725
Pneumonia,0.134454,0.99376,0.011678
Pneumonia,0.231092,0.99376,0.010353
Pneumonia,0.231092,0.99532,0.010319
Pneumonia,0.361345,0.99532,0.009505
Pneumonia,0.361345,0.99688,0.009481
Pneumonia,0.394958,0.99688,0.009334
Pneumonia,0.394958,0.99844,0.009312
Pneumonia,0.970588,0.99844,0.005833
Pneumonia,0.970588,1.0,0.005688
Pneumonia,1.0,1.0,0.004212
