epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc
1,0.34218727710333924,0.8468100435369922,0.5812437311935807,0.571753986332574,0.8750013553420766,0.9435941994641811
2,0.24717865347742676,0.7548575463762044,0.7622868605817452,0.6856492027334852,0.9713307983685817,0.960945779603336
3,0.22783527782094076,0.7134085985957083,0.8007355399531929,0.7494305239179955,0.9804749140992576,0.9703851445197048
4,0.2181509257917299,0.7025670030394013,0.825810765630224,0.7642369020501139,0.9848929380362196,0.9753681286491966
5,0.21177405421847845,0.6814485405463564,0.8361751922433969,0.785876993166287,0.9873848671837423,0.9781064660307931
6,0.18830529339574165,0.5388508046678095,0.9231026412571046,0.9715261958997722,0.9914363619108748,0.9964651750626987
7,0.16202389155192265,0.5663313808636676,0.970912738214644,0.9407744874715261,0.9986084409474942,0.9973604007451438
8,0.15192746435547705,0.5293924086186229,0.9877967235038448,0.979498861047836,0.9994725064528256,0.9973998959958399
9,0.1495700073666654,0.532455321732306,0.9929789368104313,0.9783599088838268,0.9998046071793895,0.9954646287117307
10,0.14750362814608645,0.5389461446731671,0.9949849548645938,0.9760820045558086,0.9999812208273098,0.992647300828742
11,0.14520862301240514,0.5337594048308891,0.9998328318288198,0.9749430523917996,1.0,0.9947997919916797
12,0.14528787295003673,0.5274395718661419,0.9998328318288198,0.9840546697038725,1.0,0.9945825681128512
13,0.14485059527599944,0.5240180795176426,0.9998328318288198,0.9840546697038725,1.0,0.9945233252368069
14,0.1453441821763604,0.5287192911927955,0.9998328318288198,0.9840546697038725,0.9999999999999999,0.9979725771309333
15,0.14432948578643542,0.5282111801970792,1.0,0.9829157175398633,1.0,0.9944114220265012
16,0.14470064685381365,0.5283734947782442,1.0,0.9829157175398633,1.0,0.9944574998189801
17,0.14536024015789165,0.5292142072951332,1.0,0.9840546697038725,1.0,0.994562820487503
18,0.14430555225474825,0.5288199551556267,1.0,0.9829157175398633,1.0,0.9947471316574181
19,0.14442533331346208,0.5290178222102293,1.0,0.9840546697038725,1.0,0.9947339665738528
20,0.14471009238652663,0.5290638727044733,1.0,0.9840546697038725,1.0,0.994793209449897
21,0.1447333130687824,0.5292114144305705,1.0,0.9840546697038725,1.0,0.995668687506994
22,0.14550343808502866,0.5289072532860185,1.0,0.9840546697038725,1.0,0.9950104333287255
23,0.14420327276180755,0.5294023881197519,1.0,0.9840546697038725,1.0,0.996188708307826
24,0.1443936050197266,0.5288509251316479,1.0,0.9851936218678815,0.9999999999999999,0.9953263953342943
25,0.14480237044027838,0.5292544063511634,1.0,0.9851936218678815,1.0,0.9963203591434796
26,0.14489734928092204,0.5291704785307882,1.0,0.9851936218678815,1.0,0.9961426305153471
27,0.14423437449434695,0.5293144959795176,1.0,0.9851936218678815,1.0,0.9964915052298294
28,0.1447516657643715,0.529304688096318,1.0,0.9851936218678815,1.0,0.9963730194777412
29,0.1451304722483921,0.5293364083576854,1.0,0.9851936218678815,1.0,0.9965046703133948
30,0.14559080676166,0.5293359782266726,1.0,0.9851936218678815,1.0,0.9965112528551775
