fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.078003120124805,1.0
0.0,0.11232449297971919,0.9999999
0.0,0.14508580343213728,0.99999976
0.0,0.17784711388455537,0.9999994
0.0,0.19032761310452417,0.9999993
0.0,0.1981279251170047,0.99999917
0.0,0.20436817472698907,0.99999905
0.0,0.21372854914196568,0.9999989
0.0,0.22152886115444617,0.9999988
0.0,0.23244929797191888,0.9999987
0.0,0.24804992199687986,0.99999845
0.0,0.24960998439937598,0.99999833
0.0,0.2574102964118565,0.9999982
0.0,0.2589703588143526,0.9999981
0.0,0.27769110764430577,0.9999975
0.0,0.2839313572542902,0.99999726
0.0,0.28861154446177845,0.999997
0.0,0.29017160686427457,0.9999969
0.0,0.29329173166926675,0.9999968
0.0,0.2948517940717629,0.9999964
0.0,0.3042121684867395,0.99999595
0.0,0.3073322932917317,0.99999547
0.0,0.31045241809672386,0.99999535
0.0,0.3166926677067083,0.9999949
0.0,0.31981279251170047,0.99999464
0.0,0.32293291731669266,0.9999944
0.0,0.3291731669266771,0.9999943
0.0,0.33229329173166927,0.99999404
0.0,0.33541341653666146,0.99999356
0.0,0.33853354134165364,0.9999933
0.0,0.3463338533541342,0.9999931
0.0,0.35101404056162244,0.99999297
0.0,0.3541341653666147,0.9999926
0.0,0.36037441497659906,0.99999213
0.0,0.36349453978159124,0.9999919
0.0,0.3666146645865835,0.9999918
0.0,0.37597503900156004,0.9999907
0.0,0.38065522620904835,0.99999046
0.0,0.38845553822152884,0.99998975
0.0,0.3915756630265211,0.9999894
0.0,0.39313572542901715,0.9999893
0.0,0.3993759750390016,0.99998784
0.0,0.40717628705148207,0.99998677
0.0,0.41029641185647425,0.99998665
0.0,0.42277691107644305,0.99998355
0.0,0.42589703588143524,0.9999832
0.0,0.43525741029641185,0.9999808
0.0,0.43837753510140404,0.99998045
0.0,0.44305772230889234,0.999979
0.0,0.44617784711388453,0.9999784
0.0,0.45085803432137284,0.9999765
0.0,0.4539781591263651,0.99997544
0.0,0.47737909516380655,0.99996436
0.0,0.48049921996879874,0.99996424
0.0,0.5834633385335414,0.99989915
0.0,0.5865834633385335,0.99989843
0.0,0.7004680187207488,0.99958533
0.004201680672268907,0.7004680187207488,0.9995839
0.004201680672268907,0.9547581903276131,0.7586004
0.008403361344537815,0.9547581903276131,0.7326078
0.008403361344537815,0.9859594383775351,0.16567998
0.012605042016806723,0.9859594383775351,0.1550412
0.012605042016806723,0.9890795631825273,0.12099052
0.02100840336134454,0.9890795631825273,0.11707144
0.02100840336134454,0.9906396255850234,0.116442665
0.07563025210084033,0.9906396255850234,0.036314044
0.07563025210084033,0.9921996879875195,0.029521072
0.10084033613445378,0.9921996879875195,0.02065581
0.10084033613445378,0.9937597503900156,0.019773584
0.14285714285714285,0.9937597503900156,0.008682286
0.14285714285714285,0.9953198127925117,0.008651262
0.15126050420168066,0.9953198127925117,0.0078034154
0.15126050420168066,0.9968798751950078,0.0077498765
0.1638655462184874,0.9968798751950078,0.0069497162
0.1638655462184874,1.0,0.0059097996
1.0,1.0,5.900463e-07
