epoch,train_loss,val_loss,val_auc
1,0.12404989122716899,0.07635568351569501,0.9956555224234286
2,0.04955693887967497,0.0730164754807695,0.9960965527228685
3,0.02721559662202776,0.0603538452277214,0.9979791596727161
4,0.02842199421469228,0.2107648988593031,0.9947076364067222
5,0.02064970688661074,0.05966709148937794,0.9969522831546174
6,0.021207002231851686,0.08239322749961336,0.9951025889136831
7,0.013795754971779194,0.06109766962611254,0.9974262261629706
8,0.0013308486467647595,0.06097819052282086,0.9973011578690996
9,0.0007407014834382944,0.06129742418065275,0.9975381293732761
10,0.0003316422758205026,0.05930031453307575,0.9976697802089298
