fpr,tpr
0.0,0.0
0.0,0.0015600624024961
0.0,0.0046801872074883
0.0,0.0124804992199688
0.0,0.015600624024960999
0.0,0.0483619344773791
0.0,0.0514820592823713
0.0,0.0655226209048362
0.0,0.0686427457098284
0.0,0.08892355694227769
0.0,0.09204368174726989
0.0,0.10764430577223089
0.0,0.11076443057722309
0.0,0.16536661466458658
0.0,0.1684867394695788
0.0,0.20904836193447737
0.0,0.2121684867394696
0.0,0.24492979719188768
0.0,0.24804992199687986
0.0,0.3541341653666147
0.0,0.35725429017160687
0.0,0.36973478939157567
0.0,0.37285491419656785
0.0,0.46489859594383776
0.0,0.46801872074882994
0.0,0.47737909516380655
0.0,0.48049921996879874
0.0,0.5070202808112324
0.0,0.5101404056162246
0.0,0.6614664586583463
0.0,0.6645865834633385
0.0,0.7363494539781591
0.0,0.7394695787831513
0.0,0.7597503900156006
0.0,0.7628705148205929
0.0,0.9188767550702028
0.004201680672268907,0.9188767550702028
0.004201680672268907,0.9297971918876755
0.008403361344537815,0.9297971918876755
0.008403361344537815,0.9329173166926678
0.012605042016806723,0.9329173166926678
0.012605042016806723,0.9375975039001561
0.01680672268907563,0.9375975039001561
0.01680672268907563,0.9453978159126365
0.025210084033613446,0.9453978159126365
0.025210084033613446,0.9563182527301092
0.029411764705882353,0.9563182527301092
0.029411764705882353,0.9765990639625585
0.03361344537815126,0.9765990639625585
0.03361344537815126,0.9797191887675507
0.037815126050420166,0.9797191887675507
0.037815126050420166,0.982839313572543
0.04201680672268908,0.982839313572543
0.04201680672268908,0.9890795631825273
0.0546218487394958,0.9890795631825273
0.0546218487394958,0.9906396255850234
0.058823529411764705,0.9906396255850234
0.058823529411764705,0.9937597503900156
0.06302521008403361,0.9937597503900156
0.06302521008403361,0.9968798751950078
0.17647058823529413,0.9968798751950078
0.17647058823529413,0.9984399375975039
0.2815126050420168,0.9984399375975039
0.2815126050420168,1.0
1.0,1.0
